genre	count
emo	0.108108108108
pop punk	0.162162162162
alternative emo	0.021021021021
metalcore	0.0840840840841
melodic metalcore	0.0540540540541
rap metal	0.027027027027
screamo	0.108108108108
pop emo	0.0630630630631
pixie	0.0510510510511
melodic hardcore	0.0510510510511
punk	0.0600600600601
ska punk	0.036036036036
skate punk	0.0570570570571
post-hardcore	0.039039039039
pop rock	0.036036036036
post-grunge	0.024024024024
alternative metal	0.033033033033
punk christmas	0.039039039039
ska	0.021021021021
