genre	count
emo	0.0522565320665
pop punk	0.083135391924
alternative emo	0.00950118764846
metalcore	0.0380047505938
melodic metalcore	0.021377672209
rap metal	0.0166270783848
screamo	0.0546318289786
pop emo	0.0261282660333
pixie	0.0451306413302
melodic hardcore	0.0166270783848
punk	0.0356294536817
ska punk	0.0237529691211
skate punk	0.0332541567696
post-hardcore	0.0118764845606
pop rock	0.0237529691211
post-grunge	0.0118764845606
alternative metal	0.021377672209
punk christmas	0.0261282660333
ska	0.0142517814727
