genre,count
emo,0.076354679803
pop punk,0.0935960591133
alternative emo,0.0221674876847
metalcore,0.0369458128079
melodic metalcore,0.0221674876847
rap metal,0.00985221674877
screamo,0.0665024630542
pop emo,0.012315270936
pixie,0.0147783251232
melodic hardcore,0.0246305418719
punk,0.0270935960591
ska punk,0.0221674876847
skate punk,0.0270935960591
post-hardcore,0.0467980295567
pop rock,0.0197044334975
post-grunge,0.0172413793103
alternative metal,0.0172413793103
punk christmas,0.0147783251232
ska,0.0147783251232
