genre,count
emo,0.0548628428928
pop punk,0.0897755610973
alternative emo,0.0448877805486
metalcore,0.0648379052369
melodic metalcore,0.0224438902743
rap metal,0.0324189526185
screamo,0.0922693266833
pop emo,0.0399002493766
pixie,0.109725685786
melodic hardcore,0.0174563591022
punk,0.00498753117207
ska punk,0.00249376558603
skate punk,0.0124688279302
post-hardcore,0.0124688279302
pop rock,0.00498753117207
post-grunge,0.00249376558603
alternative metal,0.0074812967581
punk christmas,0.00997506234414
ska,0.00249376558603
