Band	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Dead Legend														1									
Dead Sara																		1					
The Dear & Departed													1										
Dear and the Headlights															1								
Defeater																			1				
Deftones	1	1		1																			
Demerit																	1						
Descendents			1																				
Deviates						1	1	1															
The Devil Wears Prada														1	1		1			1			
Desperation Squad													1										
D.I.														1									
Dick Dale		1																					
The Dickies													1	1	1	1							1
Die' Hunns												1											
Die Toten Hosen				1																			
The Dillinger Escape Plan											1			1		1							
The Dirty Nil																					1		
Disco Ensemble														1									
District 7								1															
Divided By Friday																		1					
DJ Nicola Bear																				1			
DJ Scout																				1			
Dodger														1									
Does It Offend You, Yeah?														1									
Doll Skin																							1
Doozer									1														
Double XL													1										
Down by Law		1																					
Drama Club																					1		
Dr. Madd Vibe												1											
Dr. Manhattan														1									
Drive A														1									
Driver Friendly																			1				
Drop Dead, Gorgeous													1										
Dropkick Murphys					1		1		1		1					1							
D.R.U.G.S.																	1						
Dose Of Adolescence																			1				
The Dukes																							1
Dustin Jones and the Rising Tide																		1					
The Early November								1	1	1		1							1				
Echo Movement																		1					
Echosmith																			1	1			
Eden Row										1													
Edreys														1									
Eighteen Visions										1													
Eightyonedays										1													
Electric Touch																	1						
Eli Olsberg																					1		
Emarosa																1					1	1	
Emery											1	1											
Emilie Autumn																				1			
Emily's Army																		1	1				
Eminem					1																		
Emmure															1	1							1
Enough Already																						1	
Enter Shikari																1	1			1			
Entice														1									
Envy On The Coast													1										
Escape The Fate												1	1		1						1		
Esham							1																
Eternal Boy																							1
Evaline													1										
Evelynn																	1						
Evergreen Terrace													1										
Every Avenue														1	1		1						
Every Time I Die								1				1		1		1		1		1		1	
The Expendables																	1						
The Exposed																	1		1				
Eyes Set To Kill																1	1						
The Fabulous Rudies											1	1	1			1							
Face to Face	1	1							1							1							
Face The King																				1			
Fall From Grace														1									
The Fall of Troy											1												
Fall Out Boy										1	1												
Falling In Reverse																	1	1		1		1	1
Falling Through April																				1	1		
False Puppet																					1		
Family Force 5													1	1			1				1		
The Fantastic Plastics																							1
Farewell														1									
Farewell Winters																							1
Fear							1						1	1									
Fear Before the March of Flames										1													
Fear Nuttin' Band														1									
Feeki																							1
Fenix TX							1																
The Figgs		1																					
The Fight											1												
Fight Fair																1							
Fight Fight Fight														1									
The Fighting Jacks										1													
Final Summation											1												
Finch								1												1			
Fire From The Gods																							1
Fireworks																		1					
First To Eleven																						1	
Fishbone		1											1										
Fit For a King																				1	1		1
Five Iron Frenzy								1															
Five Knives																			1				
The F-Ups										1													
The Flatliners												1	1	1	1	1							
Flogging Molly						1	1	1	1	1			1		1								
Florence												1											
Fluf	1	1																					
The Fold													1				1						
For All Those Sleeping																				1			
For The Foxes																			1				
For Today																		1		1			
Forever Came Calling																1			1				
Forever The Sickest Kids													1	1		1			1				
Forget Me In Vegas																	1						
Four Year Strong														1				1		1	1	1	
Foxy Shazam																	1						
Freshman 15																	1						
From Ashes To New																						1	
From Autumn to Ashes								1	1	1		1											
From First to Last										1	1	1		1									
Fu Manchu				1																			
Funeral for a Friend											1		1										
Funeral Party																		1					
Futuristic																							1
G-Eazy																		1					
Gabe Kubanda																			1				
Gallows													1		1								
Gaslight Anthem														1									
Gatsby's American Dream											1	1					1						
GBH														1									
Germs												1		1									
Get Scared																				1			
The Get Up Kids				1																			
The Ghost Inside																		1		1			
Ghost Town																				1		1	
Gideon																						1	
Gil Mantera's Party Dream														1									
The Gilligans								1															
Gin Wigmore																			1				
Glassjaw								1	1														
Go Crash Audio													1										
Go Jimmy Go										1													
Go Radio																	1		1				
Gob						1		1															
Godsmack				1																			
Gogol Bordello										1													
Going Second										1	1												
Goldfinger								1											1				1
Goldhouse																			1				
Good Charlotte							1	1		1												1	
Good Guys In Black																	1						
Good Riddance						1																	
The Goodwill									1														
The Gospel Youth																							1
The Graduate												1											
Gratitude											1												
Greek Fire																			1				
Greeley Estates											1	1		1									
The Green																		1					
Green Day						1																	
Greg Wood									1														
Grey Gordon																					1		
Grieves with Budo																	1						
The Gufs													1										
Guttermouth								1		1					1								
Gwar																							1
Gym Class Heroes											1	1		1			1						
Hail the Sun																						1	
Halifax											1												
Handguns																			1		1		
Hands Like Houses																			1		1		1
Haste the Day													1										
Hatebreed				1																			1
Have Mercy																					1		
Hawthorne Heights											1		1						1				1
Heart To Heart																				1			
He Is Legend												1											
Hed PE			1																				
The Heirs																						1	
Hello Beautiful															1								
Hellogoodbye												1					1						
Helmet												1											
Hepcat				1		1																	
Heritage																			1				
Hey Monday																1							
HiFi Handgrenades														1									
The Higher														1									
High School Football Heroes									1	1	1	1											
Hit the Lights											1	1			1								
Home Grown				1				1															
Honor Bright														1									
Hope								1															
Hopesfall											1												
Horrorpops											1			1									
Hostage Calm																		1					
Hot Rod Circuit													1										
Hot Water Music								1															
H2O				1	1		1														1		
The Human Abstract													1	1									
Hundredth																					1		1
Hunter Revenge														1									
Hyro Da Hero																		1					
I Am the Avalanche												1						1					
I Am Ghost													1										
I Call Fives																		1					
I Fight Dragons																		1		1			
I Killed The Prom Queen																					1		
I Prevail																							1
I Set My Friends On Fire															1		1						
I See Stars																1			1			1	
I, the Breather																				1			
I the Mighty																				1			
Ice Nine Kills																			1	1		1	
Ice-T					1																		
Icon For Hire																				1	1		
illScarlett													1				1						
Immortal Technique											1												
Impending Doom																		1					
In Hearts Awake																						1	
In this Moment															1								
Incubus				1																			
The Indecent																			1				
Indofin				1																			
InnerPartySystem															1								
Insomniac																					1		
The (International) Noise Conspiracy										1													
The Interrupters																						1	
Into It. Over It.																		1					
Ionia																		1					
Isles																					1		
Issues																			1	1		1	
It Boys!																	1	1					
It Dies Today													1										
It's Pouring on Our Heads								1	1	1	1	1											
Itch																			1				
Ivens														1									
ivy league																1							
Iwrestledabearonce																1		1					
Jacky Jasper					1		1																
Jack's Mannequin														1			1						
James Morris																					1		
