genre,count
emo,0.0774774774775
pop punk,0.0954954954955
alternative emo,0.0126126126126
metalcore,0.0378378378378
melodic metalcore,0.018018018018
rap metal,0.00900900900901
screamo,0.0594594594595
pop emo,0.0108108108108
pixie,0.0108108108108
melodic hardcore,0.0306306306306
punk,0.036036036036
ska punk,0.0252252252252
skate punk,0.0342342342342
post-hardcore,0.0396396396396
pop rock,0.0216216216216
post-grunge,0.0216216216216
alternative metal,0.0216216216216
punk christmas,0.0216216216216
ska,0.0144144144144
