genre	count
emo	0.0676923076923
pop punk	0.0984615384615
alternative emo	0.00923076923077
metalcore	0.0215384615385
melodic metalcore	0.0123076923077
rap metal	0.00615384615385
screamo	0.0492307692308
pop emo	0.00615384615385
pixie	0.00307692307692
melodic hardcore	0.0307692307692
punk	0.0461538461538
ska punk	0.0307692307692
skate punk	0.0461538461538
post-hardcore	0.0307692307692
pop rock	0.0338461538462
post-grunge	0.0307692307692
alternative metal	0.0215384615385
punk christmas	0.0153846153846
ska	0.0246153846154
