genre,count
emo,0.053738317757
pop punk,0.0771028037383
alternative emo,0.0303738317757
metalcore,0.0584112149533
melodic metalcore,0.0327102803738
rap metal,0.0257009345794
screamo,0.0817757009346
pop emo,0.0233644859813
pixie,0.0560747663551
melodic hardcore,0.0257009345794
punk,0.0140186915888
ska punk,0.00467289719626
skate punk,0.0116822429907
post-hardcore,0.0163551401869
pop rock,0.0140186915888
post-grunge,0.0116822429907
alternative metal,0.0116822429907
punk christmas,0.018691588785
ska,0.00233644859813
