genre,count
emo,0.0830188679245
pop punk,0.120754716981
alternative emo,0.011320754717
metalcore,0.0264150943396
melodic metalcore,0.0150943396226
rap metal,0.00754716981132
screamo,0.0603773584906
pop emo,0.00754716981132
pixie,0.00377358490566
melodic hardcore,0.0377358490566
punk,0.0566037735849
ska punk,0.0377358490566
skate punk,0.0566037735849
post-hardcore,0.0377358490566
pop rock,0.0415094339623
post-grunge,0.0377358490566
alternative metal,0.0264150943396
punk christmas,0.0188679245283
ska,0.0301886792453
