genre,count
emo,0.0558882235529
pop punk,0.0818363273453
alternative emo,0.0179640718563
metalcore,0.063872255489
melodic metalcore,0.0279441117764
rap metal,0.0219560878244
screamo,0.0838323353293
pop emo,0.0319361277445
pixie,0.0718562874251
melodic hardcore,0.0159680638723
punk,0.0139720558882
ska punk,0.00998003992016
skate punk,0.0139720558882
post-hardcore,0.00998003992016
pop rock,0.0199600798403
post-grunge,0.0119760479042
alternative metal,0.0119760479042
punk christmas,0.0259481037924
ska,0.00998003992016
