genre,count
emo,0.0248306997743
pop punk,0.0541760722348
alternative emo,0.0225733634312
metalcore,0.0632054176072
melodic metalcore,0.020316027088
rap metal,0.0338600451467
screamo,0.0632054176072
pop emo,0.0135440180587
pixie,0.0632054176072
melodic hardcore,0.0225733634312
punk,0.0316027088036
ska punk,0.0270880361174
skate punk,0.0316027088036
post-hardcore,0.00677200902935
pop rock,0.00902934537246
post-grunge,0.00677200902935
alternative metal,0.0135440180587
punk christmas,0.00902934537246
ska,0.0180586907449
