genre	count
emo	0.0541760722348
pop punk	0.0880361173815
alternative emo	0.0293453724605
metalcore	0.058690744921
melodic metalcore	0.0248306997743
rap metal	0.0225733634312
screamo	0.0812641083521
pop emo	0.0338600451467
pixie	0.0857787810384
melodic hardcore	0.0158013544018
punk	0.0225733634312
ska punk	0.0135440180587
skate punk	0.020316027088
post-hardcore	0.00902934537246
pop rock	0.020316027088
post-grunge	0.0180586907449
alternative metal	0.0158013544018
punk christmas	0.0135440180587
ska	0.00902934537246
