genre	count
emo	0.0463378176383
pop punk	0.0568011958146
alternative emo	0.0134529147982
metalcore	0.0224215246637
melodic metalcore	0.0134529147982
rap metal	0.00597907324365
screamo	0.0403587443946
pop emo	0.00747384155456
pixie	0.00896860986547
melodic hardcore	0.0149476831091
punk	0.01644245142
ska punk	0.0134529147982
skate punk	0.01644245142
post-hardcore	0.0284005979073
pop rock	0.0119581464873
post-grunge	0.0104633781764
alternative metal	0.0104633781764
punk christmas	0.00896860986547
ska	0.00896860986547
