genre,count
emo,0.0523255813953
pop punk,0.078488372093
alternative emo,0.0101744186047
metalcore,0.0406976744186
melodic metalcore,0.0261627906977
rap metal,0.0130813953488
screamo,0.0523255813953
pop emo,0.030523255814
pixie,0.0247093023256
melodic hardcore,0.0247093023256
punk,0.0290697674419
ska punk,0.0174418604651
skate punk,0.0276162790698
post-hardcore,0.0188953488372
pop rock,0.0174418604651
post-grunge,0.0116279069767
alternative metal,0.015988372093
punk christmas,0.0188953488372
ska,0.0101744186047
