genre	count
emo	0.105911330049
pop punk	0.130541871921
alternative emo	0.0172413793103
metalcore	0.051724137931
melodic metalcore	0.0246305418719
rap metal	0.012315270936
screamo	0.0812807881773
pop emo	0.0147783251232
pixie	0.0147783251232
melodic hardcore	0.0418719211823
punk	0.0492610837438
ska punk	0.0344827586207
skate punk	0.0467980295567
post-hardcore	0.0541871921182
pop rock	0.0295566502463
post-grunge	0.0295566502463
alternative metal	0.0295566502463
punk christmas	0.0295566502463
ska	0.0197044334975
