genre	count
emo	0.0523255813953
pop punk	0.0697674418605
alternative emo	0.0101744186047
metalcore	0.0406976744186
melodic metalcore	0.0261627906977
rap metal	0.0116279069767
screamo	0.0610465116279
pop emo	0.0232558139535
pixie	0.0218023255814
melodic hardcore	0.0218023255814
punk	0.030523255814
ska punk	0.0203488372093
skate punk	0.0334302325581
post-hardcore	0.0247093023256
pop rock	0.0203488372093
post-grunge	0.0145348837209
alternative metal	0.0218023255814
punk christmas	0.0348837209302
ska	0.0101744186047
